dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,2.0,0.25,511,0.019568766197924713,0.016018446029943092,0.023111692218957383,9.999000099990002e-05,1.6634678009278077e-21,33.46379647749511,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,2.0,0.5,511,0.020659890229361853,0.017635672220799422,0.02373215798117951,9.999000099990002e-05,4.294723938695458e-31,27.59295499021526,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,2.0,1.0,511,0.03693447669964303,0.03134563930307569,0.04264232033459039,9.999000099990002e-05,1.9705215037496297e-30,24.26614481409002,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,2.0,2.0,511,-0.03167611905380986,-0.03855047501965311,-0.02492857349217428,9.999000099990002e-05,9.344271801119522e-18,62.426614481409004,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,3.0,0.25,511,0.06511879835754592,0.058254064645943314,0.07207912017586675,9.999000099990002e-05,3.1845214697924356e-50,22.309197651663403,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,3.0,0.5,511,0.06428099189351635,0.05839812546661862,0.07047190304259776,9.999000099990002e-05,2.036071249963279e-60,17.416829745596868,9.999000099990002e-05
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,3.0,1.0,511,0.13701358219949217,0.12874224769577014,0.14529981493826896,9.999000099990002e-05,2.1385347061385603e-79,6.653620352250488,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,3.0,2.0,511,-0.02136046167357322,-0.03228621899952624,-0.010521138515756916,0.00019998000199980003,2.6262725449173078e-05,56.555772994129164,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,5.0,0.25,511,0.17599263967170037,0.16165315410019424,0.1904386561334947,9.999000099990002e-05,5.2724908715572e-71,13.698630136986301,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,5.0,0.5,511,0.17986610258625915,0.16651316687226672,0.1938123026136725,9.999000099990002e-05,8.26187213256553e-77,10.76320939334638,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,5.0,1.0,511,0.25458338356577104,0.2443136015973589,0.26513185797676986,9.999000099990002e-05,8.728225999480087e-85,0.5870841487279843,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,5.0,2.0,511,0.2195025001091537,0.19995455484936894,0.23872559420357853,9.999000099990002e-05,1.0254676169092189e-62,15.459882583170254,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,10.0,0.25,511,0.51056850520647,0.4755367663973339,0.547550287761271,9.999000099990002e-05,2.705194704096198e-80,10.176125244618394,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,10.0,0.5,511,0.5111767032706367,0.4769642327937337,0.5459548391649663,9.999000099990002e-05,1.149791572866521e-81,8.610567514677104,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,10.0,1.0,511,0.5617826921936511,0.5313757854995624,0.593091904236229,9.999000099990002e-05,1.2610127533994612e-84,1.36986301369863,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,10.0,2.0,511,0.8107559085836973,0.7803301734143222,0.8408509539492905,9.999000099990002e-05,2.4037031505712236e-85,0.5870841487279843,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,1.0,0.25,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,1.0,0.5,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,1.0,1.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,1.0,2.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,2.0,0.25,511,0.017639345325255306,0.014533897283408044,0.020685078511399453,9.999000099990002e-05,7.352488959003366e-22,35.22504892367906,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,2.0,0.5,511,0.014217614305676928,0.01174143300708859,0.01684157465713239,9.999000099990002e-05,4.973594547435746e-22,30.332681017612522,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,2.0,1.0,511,0.03693447669964303,0.03123750445032245,0.04266538728720724,9.999000099990002e-05,1.9705215037496297e-30,24.26614481409002,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,2.0,2.0,511,-0.03167611905380986,-0.03837233852253422,-0.024965104747394388,9.999000099990002e-05,9.344271801119522e-18,62.426614481409004,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,3.0,0.25,511,0.05031832594454904,0.0443908474380588,0.05649125980021283,9.999000099990002e-05,1.5886762236081775e-45,25.83170254403131,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,3.0,0.5,511,0.049914965443341175,0.04465853058661277,0.05517766770628805,9.999000099990002e-05,1.0220903075584409e-54,18.590998043052835,9.999000099990002e-05
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,3.0,1.0,511,0.13701358219949217,0.12913033769883087,0.14517562585272958,9.999000099990002e-05,2.1385347061385603e-79,6.653620352250488,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,3.0,2.0,511,-0.02136046167357322,-0.03237548937255394,-0.010504265901526175,9.999000099990002e-05,2.6262725449173078e-05,56.555772994129164,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,5.0,0.25,511,0.13666572229683777,0.12459844164858844,0.14908879289334281,9.999000099990002e-05,8.402737929227322e-67,17.61252446183953,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,5.0,0.5,511,0.13576239915770247,0.12492578179050781,0.1468003599194891,9.999000099990002e-05,4.0631826609972014e-73,12.720156555772993,
