dataset,config,method,B,cost_ratio,C_rev,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,3.0,0.5,76,0.03587960382667877,-0.0043062200956937744,0.0011912231152645912,0.07322667784048248,0.0538,0.3065306606954631,1.0,38,38,0,50.0,0.1076
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,3.0,1.0,76,-0.003463737671102744,-0.034891304347826085,-0.059734051850216026,0.05312400138467694,0.904,0.8285952318640296,0.48868297090314317,34,41,1,53.94736842105263,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,3.0,2.0,76,-0.2563244986241134,-0.2223458038422649,-0.32314757410859046,-0.19016151606202153,0.0,3.177503306781697e-09,3.807704084089984e-08,14,61,1,80.26315789473685,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,5.0,0.25,76,0.07153324128683636,0.040392156862745096,0.021258202478761385,0.12286310149708632,0.007,0.05674553238930766,0.13538510529943087,45,31,0,40.78947368421053,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,5.0,0.5,76,0.09214513022244286,0.03947712418300654,0.04153775083005186,0.14504846603609434,0.0008,0.0048446327897225016,0.24804574189252784,43,32,1,42.10526315789473,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,5.0,1.0,76,0.15526406351726263,0.11676470588235295,0.07893491201413083,0.23378393259539199,0.0004,0.0005328785474356953,0.028626655508737896,48,28,0,36.84210526315789,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,5.0,2.0,76,-0.11919810126563953,-0.13522727272727272,-0.23070340963277627,-0.002303552532504322,0.0447,0.04293432991868728,0.13538510529943087,31,45,0,59.210526315789465,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,10.0,0.25,76,0.28586115440085225,0.1809782608695652,0.17167552683250176,0.4089878859478173,0.0,9.780876029253476e-05,0.08464609267083598,46,30,0,39.473684210526315,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,10.0,0.5,76,0.3022315443885897,0.16755050505050506,0.19168360294189224,0.4169447027445167,0.0,3.5231832474836056e-05,0.050452410247217666,47,29,0,38.15789473684211,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,10.0,1.0,76,0.4618581164545253,0.24869281045751637,0.3098111959485975,0.6289355180761538,0.0,1.2499480901351007e-06,0.0024442284992149655,51,24,1,31.57894736842105,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,10.0,2.0,76,0.44057581189485795,0.27463768115942033,0.23459592557049247,0.6446387805238232,0.0,0.0003230743206158514,0.02029840699010744,48,27,1,35.526315789473685,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,0.25,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,0.5,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,1.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,2.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,0.25,191,0.003395079292814326,-0.002083333333333326,-0.0005856974163441822,0.007381546873814401,0.0988,0.28966753594252936,0.7723417190395665,93,98,0,51.30890052356021,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,0.5,191,0.007728203960846801,0.004166666666666674,0.004059417444419152,0.011508934668791257,0.0002,0.0010852754318607207,0.04744112748635065,107,79,5,41.361256544502616,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,1.0,191,0.01402041126033842,0.016666666666666642,0.006783329539418773,0.021321847256999777,0.0003,0.00038501984316433393,0.0025505192526799423,114,72,5,37.696335078534034,
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,2.0,191,-0.03325935199939297,-0.033333333333333284,-0.0421845834281812,-0.0242903482813567,0.0,5.1043102508010304e-11,1.5992185050097216e-07,58,130,3,68.06282722513089,
