dataset,config,fold,seed,method,cost_ratio,C_rev,B,alpha_truth,alpha_lie,total_nominal_budget,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,2.0,0.7,0.4,0.4,0.4,0.3169970214366913,0.6813527345657349,653,431,222,1,652,652,1,0,163,103,118,268,0.37819025522041766,0.46396396396396394,0.0015313935681470138,0.998468606431853,0.998468606431853,0.5911179173047473,0.6218097447795824,0.5315315315315315,268.0,0.4104134762633997
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,2.0,0.8,0.4,0.4,0.4,0.3169970214366913,0.6813527345657349,653,431,222,1,652,652,1,0,163,103,118,268,0.37819025522041766,0.46396396396396394,0.0015313935681470138,0.998468606431853,0.998468606431853,0.5911179173047473,0.6218097447795824,0.5315315315315315,268.0,0.4104134762633997
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,2.0,0.8,0.4,0.4,0.4,0.3169970214366913,0.6813527345657349,653,431,222,1,652,652,1,0,163,103,118,268,0.37819025522041766,0.46396396396396394,0.0015313935681470138,0.998468606431853,0.998468606431853,0.5911179173047473,0.6218097447795824,0.5315315315315315,268.0,0.4104134762633997
SEUMLD,OADNet_text,0,7,cs_mondrian,2.0,0.25,,0.1,0.05,0.08346456692913387,0.5787913203239441,0.9695759806782007,653,431,222,521,132,132,0,521,39,7,41,45,0.09048723897911833,0.03153153153153153,0.7978560490045942,0.20214395099540583,0.20214395099540583,0.9295558958652373,0.9095127610208816,0.9684684684684685,183.25,0.28062787136294026
SEUMLD,OADNet_text,0,7,s1_reverse,2.0,0.25,,0.05,0.1,0.06653543307086615,0.8786944150924683,0.9311169683933258,653,431,222,473,180,180,0,473,17,31,22,110,0.03944315545243619,0.13963963963963963,0.7243491577335375,0.27565084226646247,0.27565084226646247,0.9264931087289433,0.9605568445475638,0.8603603603603603,197.25,0.30206738131699845
SEUMLD,OADNet_text,0,7,s3_empirical_equal_risk,2.0,0.25,,0.095,0.06011904761904765,0.08346456692913387,0.5995230674743652,0.9674030058085918,653,431,222,515,138,138,0,515,35,7,41,55,0.08120649651972157,0.03153153153153153,0.7886676875957122,0.2113323124042879,0.2113323124042879,0.9356814701378254,0.9187935034802784,0.9684684684684685,177.75,0.2722052067381317
SEUMLD,OADNet_text,0,7,s4_prevalence_inverse,2.0,0.25,,0.0623529411764706,0.12619047619047621,0.08346456692913387,0.7273379564285278,0.9085988104343414,653,431,222,442,211,211,0,442,21,39,27,124,0.048723897911832945,0.17567567567567569,0.6768759571209801,0.3231240428790199,0.3231240428790199,0.9081163859111792,0.951276102088167,0.8243243243243243,209.5,0.3208269525267994
SEUMLD,OADNet_text,0,7,s5_exact_budget_match,2.0,0.25,,0.08346456692913387,0.08346456692913387,0.08346456692913387,0.6670328378677368,0.9494051225483418,653,431,222,494,159,159,0,494,26,19,36,78,0.060324825986078884,0.08558558558558559,0.7565084226646248,0.2434915773353752,0.2434915773353752,0.9310872894333844,0.9396751740139211,0.9144144144144144,187.5,0.2871362940275651
SEUMLD,OADNet_text,0,7,cs_budget_selected,2.0,0.25,0.6,0.37,0.185,0.3088188976377953,0.3844022750854492,0.8646335005760193,653,431,222,317,336,336,0,317,71,52,66,147,0.16473317865429235,0.23423423423423423,0.48545176110260335,0.5145482388973966,0.5145482388973966,0.8116385911179173,0.8352668213457076,0.7657657657657657,254.25,0.38935681470137823
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,2.0,0.25,0.6,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,209.0,0.32006125574272587
