dataset,config,cost_ratio,C_rev,eps_hum,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
MDPE,OADNet_text,2.0,0.25,0.0,191,-0.01926360118370135,-0.012500000000000022,-0.023156323507094623,-0.015567688178162233,0.0,6.511005037086044e-16,2.084551709901982e-08,56,133,2,69.63350785340315,
MDPE,OADNet_text,2.0,0.5,0.0,191,-0.0031679186584718127,0.0,-0.00668030104712042,0.00019946505804688735,0.0744,0.3028095458413489,0.9415748463707182,94,92,5,48.167539267015705,
MDPE,OADNet_text,2.0,1.0,0.0,191,0.029023446391987253,0.025,0.025261637832916,0.03286293535169588,0.0,6.469505472171413e-26,2.676162516788307e-27,161,22,8,11.518324607329843,
MDPE,OADNet_text,2.0,2.0,0.0,191,0.09340617649290539,0.0833333333333334,0.08632284315957206,0.10051255785719702,0.0,8.867198932856871e-33,2.5489470578119236e-57,189,0,2,0.0,
MDPE,OADNet_text,3.0,0.25,0.0,191,-0.05011713711207224,-0.039583333333333345,-0.05799530740192732,-0.04243577614007133,0.0,4.586242002171392e-23,3.6334078296495384e-14,44,147,0,76.96335078534031,
MDPE,OADNet_text,3.0,0.5,0.0,191,-0.026776500493208892,-0.016666666666666698,-0.03402477426208361,-0.019806842324910843,0.0,1.3758417145891338e-09,4.090026923467007e-05,66,123,2,64.3979057591623,0.0
MDPE,OADNet_text,3.0,1.0,0.0,191,0.019904772744517792,0.024999999999999977,0.013507900827073373,0.026385158206237186,0.0,2.326319703485673e-08,2.948779291998265e-08,132,56,3,29.31937172774869,
MDPE,OADNet_text,3.0,2.0,0.0,191,0.11326731921997119,0.10833333333333325,0.10452993398588663,0.12227829311783898,0.0,5.617814659088439e-33,7.401326592827326e-52,188,3,0,1.5706806282722512,
MDPE,OADNet_text,5.0,0.25,0.0,191,-0.12498814401699675,-0.09583333333333335,-0.14383596773275664,-0.10759623501403749,0.0,1.2129221748492434e-26,3.627727204587861e-18,37,154,0,80.6282722513089,
MDPE,OADNet_text,5.0,0.5,0.0,191,-0.094814667273693,-0.07083333333333328,-0.11199936926170422,-0.07826169948402763,0.0,2.439341145111632e-19,1.825847246473081e-12,47,143,1,74.86910994764398,
MDPE,OADNet_text,5.0,1.0,0.0,191,-0.03446771378708551,-0.016666666666666673,-0.04973447340465892,-0.019384674482130666,0.0001,0.0005142466129588198,0.10741108743413678,82,105,4,54.973821989528794,
MDPE,OADNet_text,5.0,2.0,0.0,191,0.08622619318612944,0.08333333333333334,0.07239656840427955,0.10019951248197889,0.0,2.4498323279193896e-21,3.792509635155232e-23,160,29,2,15.18324607329843,
MDPE,OADNet_text,10.0,0.25,0.0,191,-0.31939069732149633,-0.2875,-0.36179851705364596,-0.27871925743607256,0.0,9.285957483533842e-29,1.9585913081662178e-19,35,156,0,81.67539267015707,
MDPE,OADNet_text,10.0,0.5,0.0,191,-0.2816981561575233,-0.2416666666666667,-0.32164731770240534,-0.2422109511343805,0.0,7.681413896256031e-26,2.3849687510454594e-17,38,152,1,79.58115183246073,
