dataset,config,cost_ratio,C_rev,eps_hum,n_units,unit_type,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
Open-Domain,TFIDF_LR,10.0,1.0,0.0,511,subject,-0.34939764084578173,-0.25714285714285734,-0.3814319691506581,-0.31858725233235996,9.999000099990002e-05,7.254615990627555e-68,80,424,7,82.97455968688845,
Open-Domain,TFIDF_LR,10.0,2.0,0.0,511,subject,-0.2147763869094593,-0.1454545454545455,-0.2431227965337554,-0.18593022046446703,9.999000099990002e-05,2.0418522904718448e-36,138,358,15,70.0587084148728,
Open-Domain,TFIDF_LR,1.0,0.25,0.05,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,0.5,0.05,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,1.0,0.05,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,2.0,0.05,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,2.0,0.25,0.05,511,subject,-0.03177319907750437,-0.023571428571428577,-0.035358516858223325,-0.02821618055786354,9.999000099990002e-05,1.3239920924308792e-48,128,373,10,72.99412915851272,
Open-Domain,TFIDF_LR,2.0,0.5,0.05,511,subject,-0.013290049806683865,-0.008571428571428674,-0.016522146764954993,-0.010101918898127314,9.999000099990002e-05,3.878061941516161e-12,208,293,10,57.33855185909981,
Open-Domain,TFIDF_LR,2.0,1.0,0.05,511,subject,0.02367624873495716,0.021428571428571574,0.020554304917196318,0.02682462042197856,9.999000099990002e-05,1.3677028634484012e-36,382,119,10,23.28767123287671,
Open-Domain,TFIDF_LR,2.0,2.0,0.05,511,subject,0.09760884581823921,0.09071428571428619,0.09242715394249156,0.10295011189886437,9.999000099990002e-05,8.664470138019936e-84,501,0,10,0.0,
Open-Domain,TFIDF_LR,3.0,0.25,0.05,511,subject,-0.07856978702966967,-0.06571428571428573,-0.08575376118771427,-0.07175581858889103,9.999000099990002e-05,5.752447630514265e-67,90,416,5,81.40900195694715,
Open-Domain,TFIDF_LR,3.0,0.5,0.05,511,subject,-0.052743189730469646,-0.04166666666666674,-0.059111224174825026,-0.04655019871952363,9.999000099990002e-05,5.59046655057641e-42,126,380,5,74.36399217221134,9.999000099990002e-05
Open-Domain,TFIDF_LR,3.0,1.0,0.05,511,subject,-0.0010899951320695006,0.0,-0.006760123983974285,0.004568414551853878,0.6970302969703029,0.9546820012175398,255,251,5,49.11937377690802,
Open-Domain,TFIDF_LR,3.0,2.0,0.05,511,subject,0.10221639406473071,0.09285714285714297,0.09551252584391044,0.10901895903346497,9.999000099990002e-05,1.5308927910390026e-79,471,35,5,6.8493150684931505,
Open-Domain,TFIDF_LR,5.0,0.25,0.05,511,subject,-0.1741240872630306,-0.13999999999999996,-0.18794271405372195,-0.16049367472058282,9.999000099990002e-05,1.290743599164556e-75,73,433,5,84.73581213307241,
Open-Domain,TFIDF_LR,5.0,0.5,0.05,511,subject,-0.1438286368990871,-0.11357142857142866,-0.1572340372798544,-0.130967160986437,9.999000099990002e-05,9.93776427692997e-64,91,415,5,81.2133072407045,
Open-Domain,TFIDF_LR,5.0,1.0,0.05,511,subject,-0.08323773617119995,-0.06214285714285728,-0.09517647443880317,-0.0716302881234877,9.999000099990002e-05,1.3646463083630351e-30,154,352,5,68.88454011741683,
Open-Domain,TFIDF_LR,5.0,2.0,0.05,511,subject,0.037944065284574134,0.03714285714285692,0.02707238093771855,0.048815582821722804,9.999000099990002e-05,1.690645854324093e-10,302,204,5,39.92172211350293,
Open-Domain,TFIDF_LR,10.0,0.25,0.05,511,subject,-0.42185166833601284,-0.35357142857142876,-0.45501819853336495,-0.39045461593744385,9.999000099990002e-05,1.1681433485828748e-78,68,438,5,85.71428571428571,
Open-Domain,TFIDF_LR,10.0,0.5,0.05,511,subject,-0.3881963548519322,-0.30714285714285716,-0.41999323849394793,-0.3561951654428416,9.999000099990002e-05,7.26315856344951e-77,69,437,5,85.51859099804305,
Open-Domain,TFIDF_LR,10.0,1.0,0.05,511,subject,-0.3208857278837708,-0.2428571428571431,-0.3514986481392058,-0.29185860688561266,9.999000099990002e-05,1.1088052310156464e-65,82,424,5,82.97455968688845,
Open-Domain,TFIDF_LR,10.0,2.0,0.05,511,subject,-0.18626447394744824,-0.12642857142857133,-0.2132943534368434,-0.15982691548232134,9.999000099990002e-05,4.611337857886942e-31,155,351,5,68.68884540117418,
Open-Domain,TFIDF_LR,1.0,0.25,0.1,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,0.5,0.1,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,1.0,0.1,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,2.0,0.1,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,2.0,0.25,0.1,511,subject,-0.026693159525840546,-0.020000000000000018,-0.030138612626773094,-0.02328473039789087,9.999000099990002e-05,3.0257031867413665e-39,137,364,10,71.23287671232876,
Open-Domain,TFIDF_LR,2.0,0.5,0.1,511,subject,-0.008210010255020057,-0.002857142857142836,-0.011237922291885133,-0.005157666382323936,9.999000099990002e-05,2.4420256802130837e-05,222,279,10,54.59882583170255,
Open-Domain,TFIDF_LR,2.0,1.0,0.1,511,subject,0.028756288286620958,0.026153846153846194,0.025622655448487137,0.03198894855959434,9.999000099990002e-05,3.015052976756426e-48,395,106,10,20.743639921722114,
Open-Domain,TFIDF_LR,2.0,2.0,0.1,511,subject,0.10268888536990305,0.09692307692307645,0.09722761921162126,0.10816165609233132,9.999000099990002e-05,8.65732269929712e-84,501,0,10,0.0,
