dataset,config,fold,seed,cost_ratio,C_rev,baseline,target_type,target_value,achieved_cs,achieved_bl,cost_cs,cost_bl,delta_cost
MDPE,OADNet_text,3,123,1.0,2.0,mondrian,reject_rate,0.6,0.5921052631578947,0.5921052631578947,1.319078947368421,1.319078947368421,0.0
MDPE,OADNet_text,4,123,1.0,0.25,mondrian,reject_rate,0.6,0.5784851811196488,0.5784851811196488,0.2851262349066959,0.2851262349066959,0.0
MDPE,OADNet_text,4,123,1.0,0.5,mondrian,reject_rate,0.6,0.5784851811196488,0.5784851811196488,0.4297475301866081,0.4297475301866081,0.0
MDPE,OADNet_text,4,123,1.0,1.0,mondrian,reject_rate,0.6,0.5784851811196488,0.5784851811196488,0.7189901207464325,0.7189901207464325,0.0
MDPE,OADNet_text,4,123,1.0,2.0,mondrian,reject_rate,0.6,0.5784851811196488,0.5784851811196488,1.2974753018660812,1.2974753018660812,0.0
MDPE,OADNet_text,4,2024,1.0,0.25,mondrian,reject_rate,0.6,0.6114160263446762,0.6114160263446762,0.25933040614709113,0.25933040614709113,0.0
MDPE,OADNet_text,4,2024,1.0,0.5,mondrian,reject_rate,0.6,0.6114160263446762,0.6114160263446762,0.4121844127332602,0.4121844127332602,0.0
MDPE,OADNet_text,4,2024,1.0,1.0,mondrian,reject_rate,0.6,0.6114160263446762,0.6114160263446762,0.7178924259055982,0.7178924259055982,0.0
MDPE,OADNet_text,4,2024,1.0,2.0,mondrian,reject_rate,0.6,0.6114160263446762,0.6114160263446762,1.3293084522502745,1.3293084522502745,0.0
MDPE,OADNet_text,4,2026,1.0,0.25,mondrian,reject_rate,0.6,0.6267837541163557,0.6267837541163557,0.25987925356750824,0.25987925356750824,0.0
MDPE,OADNet_text,4,2026,1.0,0.5,mondrian,reject_rate,0.6,0.6267837541163557,0.6267837541163557,0.41657519209659716,0.41657519209659716,0.0
MDPE,OADNet_text,4,2026,1.0,1.0,mondrian,reject_rate,0.6,0.6267837541163557,0.6267837541163557,0.7299670691547749,0.7299670691547749,0.0
MDPE,OADNet_text,4,2026,1.0,2.0,mondrian,reject_rate,0.6,0.6267837541163557,0.6267837541163557,1.3567508232711307,1.3567508232711307,0.0
SEUMLD,OADNet_text,1,42,1.0,0.25,mondrian,reject_rate,0.7,0.6834645669291338,0.6834645669291338,0.2637795275590551,0.2637795275590551,0.0
SEUMLD,OADNet_text,1,42,1.0,0.5,mondrian,reject_rate,0.7,0.6834645669291338,0.6834645669291338,0.4346456692913386,0.4346456692913386,0.0
SEUMLD,OADNet_text,1,42,1.0,1.0,mondrian,reject_rate,0.7,0.6834645669291338,0.6834645669291338,0.7763779527559055,0.7763779527559055,0.0
SEUMLD,OADNet_text,1,42,1.0,2.0,mondrian,reject_rate,0.7,0.6834645669291338,0.6834645669291338,1.4598425196850393,1.4598425196850393,0.0
SEUMLD,OADNet_text,1,2026,1.0,0.25,mondrian,reject_rate,0.7,0.6755905511811023,0.6755905511811023,0.24133858267716535,0.24133858267716535,0.0
SEUMLD,OADNet_text,1,2026,1.0,0.5,mondrian,reject_rate,0.7,0.6755905511811023,0.6755905511811023,0.41023622047244096,0.41023622047244096,0.0
SEUMLD,OADNet_text,1,2026,1.0,1.0,mondrian,reject_rate,0.7,0.6755905511811023,0.6755905511811023,0.7480314960629921,0.7480314960629921,0.0
SEUMLD,OADNet_text,1,2026,1.0,2.0,mondrian,reject_rate,0.7,0.6755905511811023,0.6755905511811023,1.4236220472440946,1.4236220472440946,0.0
SEUMLD,OADNet_text,2,7,1.0,0.25,mondrian,reject_rate,0.7,0.7017828200972447,0.7017828200972447,0.2516207455429498,0.2516207455429498,0.0
SEUMLD,OADNet_text,2,7,1.0,0.5,mondrian,reject_rate,0.7,0.7017828200972447,0.7017828200972447,0.42706645056726095,0.42706645056726095,0.0
SEUMLD,OADNet_text,2,7,1.0,1.0,mondrian,reject_rate,0.7,0.7017828200972447,0.7017828200972447,0.7779578606158833,0.7779578606158833,0.0
SEUMLD,OADNet_text,2,7,1.0,2.0,mondrian,reject_rate,0.7,0.7017828200972447,0.7017828200972447,1.4797406807131281,1.4797406807131281,0.0
SEUMLD,OADNet_text,2,123,1.0,0.25,mondrian,reject_rate,0.7,0.6742301458670988,0.6742301458670988,0.25283630470016205,0.25283630470016205,0.0
SEUMLD,OADNet_text,2,123,1.0,0.5,mondrian,reject_rate,0.7,0.6742301458670988,0.6742301458670988,0.4213938411669368,0.4213938411669368,0.0
