dataset,config,cost_ratio,C_rev,n_independent_subjects,mean_delta,median_delta,bootstrap_ci_2.5,bootstrap_ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct
SEUMLD,OADNet_audio,2.0,0.5,76,-0.0010437166094596807,0.0,-0.008027455880176785,0.005584100903348198,0.773022697730227,0.9338290156732746,0.43499280512215344,33,26,17,34.21052631578947
SEUMLD,OADNet_audio,2.0,1.0,76,0.018897491565115387,0.013188405797101444,0.010552914793164798,0.027763278179125366,9.999000099990002e-05,4.4359915085345464e-05,0.0005843646280443461,43,16,17,21.052631578947366
SEUMLD,OADNet_audio,2.0,2.0,76,0.05877990791426552,0.03277591973244147,0.04385992668187615,0.07465494113320721,9.999000099990002e-05,7.553512643873762e-10,1.7763568394002505e-15,50,0,26,0.0
SEUMLD,OADNet_audio,3.0,0.25,76,-0.03099599841685527,0.0,-0.04647702627075241,-0.01672035175697808,9.999000099990002e-05,0.0010809941395103183,0.5189580031896519,27,33,16,43.42105263157895
SEUMLD,OADNet_audio,3.0,0.5,76,-0.016520867892177514,0.0,-0.03077889116173748,-0.002726846133340108,0.023497650234976502,0.21857726635140518,1.0,30,29,17,38.15789473684211
SEUMLD,OADNet_audio,3.0,1.0,76,0.012429393157177985,0.00434782608695653,-0.0026504662668611007,0.02721750917247504,0.10728927107289271,0.06957716306661604,0.01348929373119186,40,20,16,26.31578947368421
SEUMLD,OADNet_audio,3.0,2.0,76,0.07032991525588898,0.04075581395348837,0.04861638289888545,0.09273039365747733,9.999000099990002e-05,4.062519668001604e-08,3.183628737933597e-06,48,12,16,15.789473684210526
SEUMLD,OADNet_audio,5.0,0.25,76,-0.08221185635443636,0.0,-0.11649724137306426,-0.04979540764774611,9.999000099990002e-05,4.394608446499839e-05,0.2450608330229457,25,35,16,46.05263157894737
SEUMLD,OADNet_audio,5.0,0.5,76,-0.06307447506657533,0.0,-0.09598272480019825,-0.03351907381405694,0.00019998000199980003,0.003726016216285954,0.2450608330229457,25,35,16,46.05263157894737
SEUMLD,OADNet_audio,5.0,1.0,76,-0.024799712490853276,0.0,-0.055206651757363334,0.0035409290199189883,0.10668933106689331,0.45716576571784484,0.5189580031896519,33,27,16,35.526315789473685
SEUMLD,OADNet_audio,5.0,2.0,76,0.05174981266059084,0.019565217391304346,0.019791452588513066,0.08480419333359954,0.0035996400359964,0.005704331434215561,0.01348929373119186,40,20,16,26.31578947368421
SEUMLD,OADNet_audio,10.0,0.25,76,-0.2203557076335044,0.0,-0.3051904620067433,-0.142812031865191,9.999000099990002e-05,1.0849715627912688e-05,0.20003136851310313,25,36,15,47.368421052631575
SEUMLD,OADNet_audio,10.0,0.5,76,-0.1971612903197731,0.0,-0.2797264625470947,-0.12358661438143732,9.999000099990002e-05,3.098859947178529e-05,0.20003136851310313,25,36,15,47.368421052631575
SEUMLD,OADNet_audio,10.0,1.0,76,-0.15077245569231038,0.0,-0.22810365537129831,-0.08065162085410513,9.999000099990002e-05,0.002161646987571016,0.20003136851310313,25,36,15,47.368421052631575
SEUMLD,OADNet_audio,10.0,2.0,76,-0.057994786437385,0.0,-0.12995465352951013,0.008841174551433767,0.10038996100389962,0.41698739249096695,0.6089207154048286,33,28,15,36.84210526315789
MDPE,OADNet_text,1.0,0.25,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
MDPE,OADNet_text,1.0,0.5,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
MDPE,OADNet_text,1.0,1.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
MDPE,OADNet_text,1.0,2.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
MDPE,OADNet_text,2.0,0.25,191,-0.019263601183701348,-0.012500000000000011,-0.02315632350709462,-0.015567688178162231,9.999000099990002e-05,6.720533906801008e-16,2.084551709901982e-08,56,133,2,69.63350785340315
MDPE,OADNet_text,2.0,0.5,191,-0.0031679186584718127,0.0,-0.00668030104712042,0.00019946505804688792,0.0744925507449255,0.3028095458413489,0.9415748463707182,94,92,5,48.167539267015705
MDPE,OADNet_text,2.0,1.0,191,0.029023446391987253,0.025,0.025261637832916,0.03286293535169588,9.999000099990002e-05,6.469505472171413e-26,2.676162516788307e-27,161,22,8,11.518324607329843
