source,r,B,comparison,family,n_units,delta_cost,delta_cost_ci_low,delta_cost_ci_high,sign_flip_p,wilcoxon_p,delta_reject,delta_reject_ci_low,delta_reject_ci_high,delta_reject_sign_flip_p,delta_fp_per_sample,delta_fn_per_sample,excluded_degenerate_units,sign_flip_p_holm
MDPE_OADNet_text,3.0,0.6,cs_vs_match,secondary,191,-0.04280199559905911,-0.05173979436983079,-0.034021762842400806,9.999000099990002e-05,2.793490782024657e-16,0.04391266408680478,0.03558672888686548,0.052327566583200535,9.999000099990002e-05,0.031258062068442206,-0.032005463236967895,0,
MDPE_OADNet_text,3.0,0.7,cs_vs_uni,primary,191,-0.02257474011685257,-0.028857628613703622,-0.016771852947871608,9.999000099990002e-05,1.2505076412764051e-09,-0.0009845208285909476,-0.00895174140678353,0.0070643637605281055,0.8107189281071893,0.032925487518021095,-0.018335989073526064,0,0.00039996000399960006
MDPE_OADNet_text,3.0,0.7,cs_vs_free2d,secondary,191,-0.019378367099172927,-0.02511201532741483,-0.013886414940435545,9.999000099990002e-05,1.4967812783690753e-08,-0.023668335989073523,-0.03133024129296607,-0.015831863191440924,9.999000099990002e-05,0.0399916533879657,-0.01584528416420062,0,
MDPE_OADNet_text,3.0,0.7,cs_vs_match,secondary,191,-0.024689847484634646,-0.03125922395477654,-0.018441151642765007,9.999000099990002e-05,4.157961110579063e-10,0.009619470369527275,0.0018341205706047436,0.017353412626147664,0.0170982901709829,0.03126754685484483,-0.02025570984141437,0,
MDPE_OADNet_text,3.0,0.8,cs_vs_uni,secondary,191,-0.011331474315198419,-0.01616710296684119,-0.006775765422262687,9.999000099990002e-05,0.00014245260108493923,0.012028606115790279,0.006145999317095381,0.01800406897336673,0.00019998000199980003,0.016685636239471884,-0.011343804537521813,0,
MDPE_OADNet_text,3.0,0.8,cs_vs_free2d,secondary,191,-0.010086121860535698,-0.014822919037863265,-0.005592064079216942,9.999000099990002e-05,0.0011536775141429373,0.0033424387282798445,-0.0025363741558540108,0.009162303664921469,0.2706729327067293,0.01887093102663328,-0.010209424083769632,0,
MDPE_OADNet_text,3.0,0.8,cs_vs_match,secondary,191,-0.013277752485014036,-0.01863004116397298,-0.008344406821458377,9.999000099990002e-05,5.377608131927512e-05,0.023774565596782767,0.018146151073677827,0.02935920783063966,9.999000099990002e-05,0.014238561347598452,-0.01313453221033462,0,
MDPE_OADNet_text,2.0,0.6,cs_vs_uni,secondary,191,-0.003538773806813871,-0.007132677934592912,-3.601847636391277e-05,0.05319468053194681,0.19231366187662435,-0.008822748311708024,-0.014974817892101078,-0.002540025798619019,0.0058994100589941,0.03300326276652249,-0.016065331208741176,0,
MDPE_OADNet_text,2.0,0.7,cs_vs_uni,secondary,191,-0.004214090598679718,-0.007175288337506637,-0.0013306443963881903,0.006099390060993901,0.021153625130871236,-0.0239832308976402,-0.030385556567266117,-0.017537322634494288,9.999000099990002e-05,0.029869489339100077,-0.011045982244479854,0,
MDPE_OADNet_text,2.0,0.8,cs_vs_uni,secondary,191,-3.4145231049393084e-05,-0.002109463919872519,0.0020127190985659,0.9848015198480152,0.6578064134910915,0.006267546854844831,0.001951874193793155,0.010549026860915096,0.0044995500449955,0.01140450717049852,-0.007286212914485166,0,
