source,r,B,arm,n_runs,mean_cost,mean_reject_rate,mean_fp_per_sample,mean_fn_per_sample,budget_violation_rate,selection_feasible_rate,degenerate_run_rate,mode_alpha_truth,mode_alpha_lie,mean_cost_decomp_residual
SEUMLD_OADNet_audio,3.0,0.7,free2d,25,0.5330273947269047,0.7773949390012153,0.05989484797161044,0.028145025751562223,0.8,1.0,0.0,0.05,0.075,0.0
SEUMLD_OADNet_audio,3.0,0.7,match,25,0.5411477310273493,0.7270046578002223,0.07928279581731576,0.03278753543664077,0.6,0.96,0.0,0.15,0.15,0.0
SEUMLD_OADNet_audio,3.0,0.7,uni,25,0.5389410083782544,0.7411320217890892,0.07420469795115024,0.0313900998441865,0.64,1.0,0.0,0.15,0.15,0.0
SEUMLD_OADNet_audio,3.0,0.8,cs,25,0.5195615782031717,0.8203960695602922,0.0728395936870462,0.012174649911993131,0.56,1.0,0.0,0.15,0.049999999999999996,0.0
SEUMLD_OADNet_audio,3.0,0.8,free2d,25,0.5256669286909683,0.8488805083529624,0.03936789377881353,0.020619593578557863,0.8,1.0,0.0,0.05,0.075,0.0
SEUMLD_OADNet_audio,3.0,0.8,match,25,0.524879665981283,0.8288552668432291,0.04672679480648953,0.02124174591772629,0.68,0.88,0.0,0.1,0.1,0.0
SEUMLD_OADNet_audio,3.0,0.8,uni,25,0.5266320767743332,0.829059480281368,0.04558534071769892,0.022172331971983438,0.64,1.0,0.0,0.075,0.075,0.0
SEUMLD_OADNet_audio,5.0,0.6,cs,25,0.5808817074040307,0.6455576946401606,0.171689282907311,0.01728271543532789,0.56,0.76,0.0,0.3,0.06,0.0
SEUMLD_OADNet_audio,5.0,0.6,uni,25,0.6254843373621441,0.6665753199071256,0.09952459899295564,0.03853441568312515,0.68,1.0,0.0,0.2,0.2,0.0
SEUMLD_OADNet_audio,5.0,0.7,cs,25,0.5489898463898429,0.7404503538800133,0.12129063239795927,0.011494807410375386,0.72,1.0,0.0,0.2,0.04,0.0
SEUMLD_OADNet_audio,5.0,0.7,uni,25,0.6017212080666274,0.7411320217890892,0.07420469795115024,0.0313900998441865,0.64,1.0,0.0,0.15,0.15,0.0
SEUMLD_OADNet_audio,5.0,0.8,cs,25,0.531185307343927,0.8065618356787789,0.0869842163036075,0.008184034640186,0.48,1.0,0.0,0.15,0.03,0.0
SEUMLD_OADNet_audio,5.0,0.8,uni,25,0.5709767407183001,0.829059480281368,0.04558534071769892,0.022172331971983438,0.64,1.0,0.0,0.075,0.075,0.0
SEUMLD_OADNet_audio,10.0,0.6,cs,25,0.5900757222317988,0.6711273842941162,0.17425674803575827,0.008025528204898241,0.64,0.52,0.0,0.3,0.03,0.0
