dataset,config,r,B,feasible,selected_alpha_total,selected_alpha_lie,test_reject,test_expected_cost,test_fn,test_label_coverage_lie
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.6788008565310493,0.5749464668094219,0.11396011396011396,0.886039886039886
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5610278372591007,0.5856531049250535,0.150997150997151,0.8490028490028491
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5610278372591007,0.5856531049250535,0.150997150997151,0.8490028490028491
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.6648822269807281,0.566916488222698,0.12535612535612536,0.8746438746438746
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7366167023554604,0.5610278372591007,0.11396011396011396,0.886039886039886
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5964912280701754,0.5394736842105263,0.023391812865497075,0.9766081871345029
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5964912280701754,0.5394736842105263,0.023391812865497075,0.9766081871345029
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.6578947368421053,0.5274122807017544,0.017543859649122806,0.9824561403508771
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7642543859649122,0.5082236842105263,0.005847953216374269,0.9941520467836257
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5076754385964912,0.5542763157894737,0.038011695906432746,0.9619883040935673
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5076754385964912,0.5542763157894737,0.038011695906432746,0.9619883040935673
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.6206140350877193,0.5449561403508771,0.03216374269005848,0.9678362573099415
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.7050438596491229,0.5323464912280702,0.029239766081871343,0.9707602339181286
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.6392543859649122,0.5257675438596491,0.029239766081871343,0.9707602339181286
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.6392543859649122,0.5257675438596491,0.029239766081871343,0.9707602339181286
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.8015350877192983,0.5137061403508771,0.008771929824561403,0.9912280701754386
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.8015350877192983,0.5137061403508771,0.008771929824561403,0.9912280701754386
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5548245614035088,0.5592105263157895,0.05555555555555555,0.9444444444444444
MDPE,OADNet_audio,3.0,0.6,False,0.3,0.09999999999999999,0.5548245614035088,0.5592105263157895,0.05555555555555555,0.9444444444444444
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.6074561403508771,0.555921052631579,0.05555555555555555,0.9444444444444444
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.6743421052631579,0.5476973684210527,0.049707602339181284,0.9502923976608187
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5833333333333334,0.5285087719298246,0.043859649122807015,0.956140350877193
MDPE,OADNet_audio,3.0,0.6,False,0.3,0.09999999999999999,0.5833333333333334,0.5285087719298246,0.043859649122807015,0.956140350877193
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.6458333333333334,0.512609649122807,0.03508771929824561,0.9649122807017544
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.6984649122807017,0.4994517543859649,0.02631578947368421,0.9736842105263158
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.7365532381997805,0.5592755214050494,0.05263157894736842,0.9473684210526315
MDPE,OADNet_audio,3.0,0.6,False,0.3,0.09999999999999999,0.7365532381997805,0.5592755214050494,0.05263157894736842,0.9473684210526315
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.8419319429198683,0.5461031833150384,0.05263157894736842,0.9473684210526315
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.8419319429198683,0.5461031833150384,0.05263157894736842,0.9473684210526315
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.6410537870472008,0.5499451152579583,0.03508771929824561,0.9649122807017544
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.6410537870472008,0.5499451152579583,0.03508771929824561,0.9649122807017544
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.7233809001097695,0.539517014270033,0.03216374269005848,0.9678362573099415
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.8133918770581778,0.5384193194291986,0.03216374269005848,0.9678362573099415
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5115257958287596,0.5422612513721186,0.017543859649122806,0.9824561403508771
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5115257958287596,0.5422612513721186,0.017543859649122806,0.9824561403508771
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.5686059275521405,0.5367727771679474,0.008771929824561403,0.9912280701754386
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7047200878155873,0.5268935236004391,0.0,1.0
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.32711306256860595,0.5993413830954994,0.10818713450292397,0.8918128654970761
